房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2747166281412657152,整租·南山雨果(公寓),3室2厅,6500,(季付价),整租,90㎡,南 北,今天,低楼层/11层,租用车位,1年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2747166281412657152.html,"
          整租·南山雨果(公寓) 3室2厅 南/北        ",青浦,徐泾,南山雨果(公寓)
房源编号：SH2744314008562565120,整租·安高东方御府,3室2厅,5600,(季付价),整租,90㎡,南,1天前,低楼层/18层,暂无数据,2年以内,2021/5/25,有,无信息,"11号线(嘉定北-迪士尼),11号线(花桥-迪士尼) - 马陆",565m,http://sh.lianjia.com/zufang/SH2744314008562565120.html,"
          整租·安高东方御府 3室2厅 南        ",嘉定,嘉定新城,安高东方御府
房源编号：SH2747780040057167872,整租·九城湖滨国际,3室2厅,8300,(季付价),整租,143㎡,南,2天前,中楼层/16层,暂无数据,3年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2747780040057167872.html,"
          整租·九城湖滨国际 3室2厅 南        ",松江,九亭,九城湖滨国际
房源编号：SH2747803838857101312,整租·万科白马花园(公寓),2室2厅,6500,(季付价),整租,103㎡,南,2天前,低楼层/4层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2747803838857101312.html,"
          整租·万科白马花园(公寓) 2室2厅 南        ",松江,莘闵别墅,万科白马花园(公寓)
房源编号：SH2744136691684999168,整租·法兰西世家(别墅),4室2厅,11000,(季付价),整租,400㎡,南,今天,低楼层/3层,暂无数据,1年以内,随时入住,无,无信息,8号线 - 西藏北路,43m,http://sh.lianjia.com/zufang/SH2744136691684999168.html,"
          整租·法兰西世家(别墅) 4室2厅 南        ",松江,泗泾,法兰西世家(别墅)
房源编号：SH2747246526249312256,整租·春申景城MIDTOWN,2室2厅,8800,(季付价),整租,108㎡,南,今天,低楼层/14层,租用车位,2年以内,随时入住,有,"【房源亮点】<br />
小区品质高，近地铁，出行方便。房子装修保养好，带中+央空调，地暖。<br />
<br />
【装修描述】<br />
开发商装修，后期业主重新贴了墙纸，保养如新，拎包入住！！！！<br />
<br />
【交通出行】<br />
有莲花南路春申路公交站，公交线路156/703/180/162、闵行13/725/873/735、闵行3路等都经过春申景城小区。距离1号线莘庄地铁站2.9公里，莲花路地铁站2.9公里（数据来自于高德地图），出了小区东门有直达公交到地铁口。<br />
<br />
【出租原因】<br />
业主觉得房子一定要有人住，那样才有人气，空置可惜，故拿出来出租，希望找到一位爱惜房子的有缘人。<br />
<br />
【周边配套】<br />
小区旁边有大润发，绚荟城、南方商城 ，仲盛世界商城 ，龙之梦等。。闵行区实验、华东医院闵行门诊部等，生活服务设施齐全。出行方便<br />
<br />
【小区介绍】<br />
小区是2009年-2016年的房龄，小区品质高，绿植多且很名贵，干净整洁，楼间距开阔。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2747246526249312256.html,"
          整租·春申景城MIDTOWN 2室2厅 南        ",闵行,春申,春申景城MIDTOWN
房源编号：SH2743509809843412992,整租·朗诗绿色街区,3室2厅,8700,(季付价),整租,149㎡,南 北,今天,低楼层/18层,暂无数据,1年以内,随时入住,有,"【房源亮点】<br />
房子目前是自住的，自住装修，业主诚心出租，随时签约，看房提前约基本可看<br />
<br />
【户型介绍】<br />
本房是南北三居室，双卧朝南+客厅朝南，次卧厨房朝北，精装修，餐厅和客厅南北穿堂过，两个卫生间，适合一家三代人居住。<br />
<br />
【装修描述】<br />
采用地源热泵技术和顶棚辐射等系统，从地下常温层中提取能量，再由顶棚辐射的科技方式传导至室内，可以保证各个角落的室温均匀分布，且无吹风感，并引入外墙保温系统，以先进环保的节能方式实现室内适温<br />
<br />
【交通出行】<br />
可地铁或公交出行，小区南门以及西门，距离陈翔公路站1100米（百度地图），南翔地铁站2000米（百度地图），小区门口就是公交站，出行都很方便<br />
<br />
【周边配套】<br />
小区出左边100米就是综合商场华润五彩城，迈博健身房，网球俱乐部等等，银行有浦发银行；中行；工行；农行；交行；建行；城市银行等等，比较便利！<br />
<br />
【小区介绍】<br />
此小区是科技小区，房子是恒温恒湿恒氧的 开发商统一精装修，小区物业管理严格<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2743509809843412992.html,"
          整租·朗诗绿色街区 3室2厅 南/北        ",嘉定,南翔,朗诗绿色街区
房源编号：SH2743418233582256128,整租·新华御湖上园,3室2厅,1500,(季付价),整租,85㎡,南,今天,高楼层/18层,暂无数据,1年以内,随时入住,无,"【房源亮点】<br />
小区楼间距长，通风和采光好，前后无遮挡，各功能间布局合理。地下车库有新能源充电桩。<br />
<br />
【装修描述】<br />
3房精装，家具家电齐全，可以直接拎包入住，装修风格现代化，出租，希望租客爱护一些。<br />
<br />
【交通出行】<br />
交通：半小时莲卫专线可直达金山卫小火车站；金山卫直达上海南站；金山北站可直达虹桥火车站。<br />
<br />
【出租原因】<br />
房东购买过来非刚需，可以长期出租，希望寻找稳定爱护房源的租客。<br />
<br />
【周边配套】<br />
交通：莲卫专线可直达金山卫小火车站；商/超市：万达百联十一公里左右；公园：金水湖湿地公园/新城公园/城市沙滩公园 教育：杭州湾双语<br />
<br />
【小区介绍】<br />
小区2019年开盘，2020年交付；有车位1015个，车位比1比1；环境优雅，高达35%；物业费2.5元/平/月；小区有儿童和老人健身器材。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2743418233582256128.html,"
          整租·新华御湖上园 3室2厅 南        ",金山,金山,新华御湖上园
房源编号：SH2744274719955230720,整租·龙湖郦城,2室2厅,6000,(季付价),整租,96㎡,南,1天前,高楼层/31层,暂无数据,3年以内,随时入住,有,无信息,"11号线(花桥-迪士尼),11号线(嘉定北-迪士尼) - 嘉定新城",447m,http://sh.lianjia.com/zufang/SH2744274719955230720.html,"
          整租·龙湖郦城 2室2厅 南        ",嘉定,嘉定新城,龙湖郦城
房源编号：SH2747812908066152448,整租·万顺水原墅(别墅),6室2厅,27000,(季付价),整租,430㎡,南,3天前,低楼层/2层,免费使用,3年以内,随时入住,无,无信息,5号线 - 北桥,604m,http://sh.lianjia.com/zufang/SH2747812908066152448.html,"
          整租·万顺水原墅(别墅) 6室2厅 复式 南        ",闵行,颛桥,万顺水原墅(别墅)
房源编号：SH2744143828067033088,整租·禹洲雍贤府,3室1厅,2200,(季付价),整租,89㎡,南 北,6天前,低楼层/2层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2744143828067033088.html,"
          整租·禹洲雍贤府 3室1厅 南/北        ",奉贤,奉贤金汇,禹洲雍贤府
房源编号：SH2747812221290545152,整租·康定路751弄,1室1厅,6000,(季付价),整租,45㎡,南,1天前,中楼层/4层,暂无数据,2年以内,随时入住,无,"【房源亮点】<br />
本套房子地理位置好，加上地铁口，门口就是公交站，对于年轻的上班族是很合适的，出行便利，配套齐全，不错的楼层，距离华山医院静安分院（2甲）步行距离550米，距离华山医院（三甲）步行距离1.9公里（数据来源高德地图），对于中老年人也是很棒，老少<br />
<br />
【交通出行】<br />
小区出门步行200多米既是7号线昌平路地铁站（数据来自高德地图），距离2/7号线静安寺站步行距离850米（数据来自高德地图），出了小区大门就是23路公交车站，交通便利，地铁公交四通八达。<br />
<br />
【小区介绍】<br />
区位于康定路751弄，近常德路，老静安区的中间位置，小区不大但是管理很好，门口保安很负责任，1993年小区，门口配套齐全，一条马路之隔的静安豪景四期商场及写字楼已经动工，未来发展潜力好。<br />
<br />
",7号线 - 昌平路,299m,http://sh.lianjia.com/zufang/SH2747812221290545152.html,"
          整租·康定路751弄 1室1厅 南        ",静安,江宁路,康定路751弄
房源编号：SH2747218171135270912,整租·瑞虹新城二期(优贤生活),3室2厅,16000,(季付价),整租,122㎡,南 北,9天前,低楼层/39层,暂无数据,1年以内,随时入住,有,"【交通出行】<br />
瑞虹新城二期小区出行主干道：地铁四号线临平路上盖，小区的6-12号楼从地下负一层直接连通商城及地铁，小区边有10个公交站点周家嘴路、四平路、大连路、新建路隧道、大连路隧道、外滩隧道，<br />
<br />
【周边配套】<br />
到地铁4号线临平路站10米 商 业：瑞虹坊，瑞虹新天地（月亮湾/星星堂/太阳宫） 小区距离北外滩商圈仅1公里<br />
<br />
【小区介绍】<br />
小区介绍：瑞虹新城二期于2004年建成，小区环境优美，安静宜居，绿化45%，自带会所（室内，室外游泳池，网球场），半人车分流 小区配套：小区门口就是地铁站，临瑞虹新天地（月亮湾/星星堂/太阳宫（2021年底开业））<br />
<br />
",4号线 - 临平路,123m,http://sh.lianjia.com/zufang/SH2747218171135270912.html,"
          整租·瑞虹新城二期(优贤生活) 3室2厅 南/北        ",虹口,临平路,瑞虹新城二期(优贤生活)
房源编号：SH2747080175211511808,整租·新时空国际商务广场,1室1厅,8300,(季付价),整租,61㎡,东南,11天前,高楼层/30层,暂无数据,暂无数据,随时入住,有,无信息,"2号线,3号线,4号线 - 中山公园",93m,http://sh.lianjia.com/zufang/SH2747080175211511808.html,"
          整租·新时空国际商务广场 1室1厅 东南        ",长宁,中山公园,新时空国际商务广场
房源编号：SH2747999403741814784,整租·凯迪澳澜湾,5室3厅,25000,(季付价),整租,520㎡,南,2天前,低楼层/2层,暂无数据,暂无数据,随时入住,无,"【房源亮点】<br />
凯迪独栋别墅，面积大、         户型好、位置好，花园装修很好。<br />
<br />
【交通出行】<br />
G50高速出口，公交直达地铁17号线嘉松中路站，地铁9号线佘山站。<br />
<br />
【周边配套】<br />
私立：宋庆龄国际、协和双语、赫德双语  <br />
公立：松泽幼儿园   松泽中*<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2747999403741814784.html,"
          整租·凯迪澳澜湾 5室3厅 南        ",青浦,赵巷,凯迪澳澜湾
房源编号：SH2743339285599502336,整租·汇贤居,6室2厅,70000,(季付价),整租,278㎡,南,1天前,低楼层/5层,暂无数据,3年以上,2021/6/6,无,"【房源亮点】<br />
小区自带会所，泳池，健身房等一应俱全，仅对业主开放，小区设有地下车库。车位配比1：1，车位充足。<br />
<br />
【户型介绍】<br />
总共7栋，前三栋为高层，后四栋为小高层147或164的三房，196平的四房，其余为特殊户型，比如复式，此套为特殊户型，底楼复式。<br />
<br />
【装修描述】<br />
全屋精美装修，品牌家具家电，拥有的奢华享受，足够大的居住空间，品质之选您值得拥有。<br />
<br />
【交通出行】<br />
1/7号线常熟路站363米，10号线上海图书馆站798米，2/7号线静安寺站897米（数据来源高德地图），交通便利。<br />
<br />
【周边配套】<br />
安福路上的梧桐散发着浪漫气息，三甲医院华山医院、华东医院，乌中菜市场、银行、便利店，生活配套齐全，生活气息浓郁。体会上海快生活中的慢节奏。<br />
<br />
【小区介绍】<br />
汇贤居位于乌鲁木齐中路/安福路路口。是衡山路板块少有的人车分流的小区，李嘉诚打造开发，小区内有会所，如游泳池、健身房等；品质体验、。<br />
<br />
","1号线,7号线 - 常熟路",438m,http://sh.lianjia.com/zufang/SH2743339285599502336.html,"
          整租·汇贤居 6室2厅 南        ",徐汇,衡山路,汇贤居
房源编号：SH2744779099557347328,整租·阳光城丽景湾,3室2厅,14500,(季付价),整租,200㎡,南,2天前,高楼层/3层,租用车位,1年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2744779099557347328.html,"
          整租·阳光城丽景湾 3室2厅 南        ",浦东,周浦,阳光城丽景湾
房源编号：SH2748724162645196800,整租·长宁路405弄,1室0厅,6500,(季付价),整租,36㎡,南,今天,低楼层/6层,租用车位,1年以内,随时入住,无,"【装修描述】<br />
2020年精装修，房东花费10多万，全屋配置，可以拎包入住的<br />
<br />
【交通出行】<br />
近2/11号线江苏路地铁站直线约500米（数据来源百度地图）， 边多条公交线路可以直达市区繁华的地方，交通可以说十分便利！<br />
<br />
【周边配套】<br />
小区近长宁支路菜市场，超市，水果店，各式小吃一条街；近悦达889广场，巴黎春天大商场，龙之梦大商场，来福士广场，家乐福大卖场，苏宁电器旗舰店，国美电器，娱乐休闲的生活设施都是很方便快捷。<br />
<br />
【小区介绍】<br />
小区整体1983-89年分批次竣工完成，2019年6-12月初步完成整改，精品文明小区，从外立面到房屋管道全部整改，焕然一新，也是老小区里的标杆！环境好，楼间距大，其中四栋已经完成加装电梯工程！<br />
<br />
","2号线,11号线(嘉定北-迪士尼),11号线(花桥-迪士尼) - 江苏路",516m,http://sh.lianjia.com/zufang/SH2748724162645196800.html,"
          整租·长宁路405弄 1室0厅 南        ",长宁,中山公园,长宁路405弄
房源编号：SH2743459024061071360,整租·春之声公寓,3室2厅,14000,(季付价),整租,134㎡,南 北,4天前,中楼层/15层,暂无数据,3年以内,随时入住,有,"【房源亮点】<br />
户型好，楼层好，采光好，适合一家人居住，交通方便，小区绿化好<br />
<br />
【户型介绍】<br />
精装修，两南一北户型，居家式风格，适合一家人居住，居住空间充裕，动静分离<br />
<br />
【装修描述】<br />
精装修，两南一北户型，居家式风格，适合一家人居住，居住空间充裕，动静分离<br />
<br />
【交通出行】<br />
距离蓝村路地铁站200米，蓝村路地铁站500米。四六号线双轨。门口浦建路公交众多，可去浦西和陆家嘴。开车走高架和人民路隧道、复兴路隧道、延安路隧道、去浦西人民广场也方便。<br />
<br />
【周边配套】<br />
公园休憩：塘桥公园、世纪公园、南浦广场公园、浦东走道 商场购物：卜蜂莲花、富都广场、沃尔玛、国美电器、365数码广场、巴黎春天 美食休闲：蓝村路美食一条街，富都广场、巴黎春天、新塘桥生活广场 医院健康：上海儿童医学和仁济医院<br />
<br />
【小区介绍】<br />
2003年竣工，中星集团开发，小区有12栋高层组成，一梯两户，小区中间是绿化，活动娱乐及健身器材设施<br />
<br />
","4号线,6号线 - 蓝村路",465m,http://sh.lianjia.com/zufang/SH2743459024061071360.html,"
          整租·春之声公寓 3室2厅 南/北        ",浦东,塘桥,春之声公寓
房源编号：SH2749224581389885440,整租·一品漫城二期（别墅）,4室3厅,35000,(季付价),整租,400㎡,南,2天前,低楼层/3层,暂无数据,1年以内,随时入住,无,"【户型介绍】<br />
地上三层，地下一层，面积大，适合居家客户，有此类需求的客户可随时联系<br />
<br />
【装修描述】<br />
漫城精品别墅，haohua装修，屋内床品均属于高品质，可以给您带来不错的入住体验。<br />
<br />
【交通出行】<br />
近地铁八号线3号口，小区门口是公交枢纽站，有闵行12路，39路，浦江4路等。还有滴滴打车多种出行方式可供选择，门口浦星公路可以直接上中环。<br />
<br />
【出租原因】<br />
上一位租客到期，业主不自住，房屋空置，所以选择对外出租。。。<br />
<br />
【周边配套】<br />
南边3公里处有大型家乐福，北边一公里处有农贸产品批发市场，配套娱乐一应俱quan，5公里有仁济南院，健康医疗有保障，小区南门出去，是一条一品漫城自带shang业街。<br />
<br />
【小区介绍】<br />
一品漫城的开发商是鹏欣集团，物业是春川物业，小区每个入口都有一个单独的门岗，24小时巡逻 ，小区绿化高，停车位充足，早起可以在小区晨练。<br />
<br />
",8号线 - 芦恒路,568m,http://sh.lianjia.com/zufang/SH2749224581389885440.html,"
          整租·一品漫城二期（别墅） 4室3厅 南        ",闵行,浦江,一品漫城二期（别墅）
房源编号：SH2748685397294063616,整租·龙柏二村,2室1厅,6500,(季付价),整租,55㎡,南,4天前,低楼层/6层,暂无数据,3年以内,2021/6/1,无,"【交通出行】<br />
地铁：地铁十号线龙柏新村站，71路无轨电车直达外滩交通便利，公交：804路、721路、57路、936路、867，57路等.多站公交四通八道，且多样化的交通方式将龙柏金汇与虹桥机场交通枢纽紧密相连，开车上高架，便利的交通满足您任何出行需求。<br />
<br />
【周边配套】<br />
新华红星国际广场、万象城正式投入营业， 购物：乐虹坊购物、乐购、易初莲花 医院：龙柏社区医院、武警医院 邮局：中国邮政黄桦路邮政所 银行：上海银行、中国银行、建设银行、工商银行等。小区出门就是黄桦路美食一条街，各种美食吃到饱<br />
<br />
【小区介绍】<br />
小区做过美丽家园改造（马路重铺、车位规划、外立面刷新），进入小区明显使人觉得干净整洁，居住人群多以上海本地人、年轻人为主，出门就是菜市商场，居住氛围浓郁.<br />
<br />
",10号线(新江湾城-航中路) - 龙柏新村,901m,http://sh.lianjia.com/zufang/SH2748685397294063616.html,"
          整租·龙柏二村 2室1厅 南        ",闵行,龙柏,龙柏二村
房源编号：SH2749199382254993408,整租·TODTOWN天荟,3室2厅,22000,(季付价),整租,179㎡,南,5天前,低楼层/28层,租用车位,暂无数据,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2749199382254993408.html,"
          整租·TODTOWN天荟 3室2厅 南        ",闵行,莘庄,TODTOWN天荟
房源编号：SH2745588264492089344,整租·裕德路66弄,2室1厅,7900,(季付价),整租,48㎡,南,3天前,高楼层/7层,暂无数据,2年以内,随时入住,无,"【房源亮点】<br />
近地铁和公交车站出行方便，200米范围内有便利店、商场、餐馆生活便利<br />
<br />
【交通出行】<br />
位于徐汇区徐家汇板块，该板块位于上海城区的西南部。徐家汇是轨道交通1号线、 9号线和11号线三线换乘的交通枢纽，也是三条市域轨道交通汇集、三纵三横主干道交汇的重要交通枢纽 ，3号线 宜山路站 4号线上海体育馆站<br />
<br />
【周边配套】<br />
配套较为完善，小区门口既有大型的广场和超市，也分布着多家便利店，可以满足小区居民不同层次的生活消费需求；集个性小店、主题餐厅、休闲吧、KTV、电玩、等多种娱乐元素于一身，与港汇广场、东方商厦、太平洋百货、腾飞广场、飞洲国际广场、盒马超市<br />
<br />
","1号线,4号线 - 上海体育馆",379m,http://sh.lianjia.com/zufang/SH2745588264492089344.html,"
          整租·裕德路66弄 2室1厅 南        ",徐汇,徐家汇,裕德路66弄
房源编号：SH2749790225823186944,整租·首创禧悦(二期),3室2厅,5000,(季付价),整租,92㎡,南,今天,低楼层/14层,租用车位,2年以内,随时入住,有,无信息,17号线 - 淀山湖大道,264m,http://sh.lianjia.com/zufang/SH2749790225823186944.html,"
          整租·首创禧悦(二期) 3室2厅 南        ",青浦,盈浦,首创禧悦(二期)
房源编号：SH2745117492430520320,整租·城市一品苑,3室2厅,36800,(季付价),整租,156㎡,南,7天前,高楼层/32层,暂无数据,暂无数据,随时入住,有,"【交通出行】<br />
104路24路128路沪青盈专线71路925路.........<br />
<br />
【周边配套】<br />
上海银行、中国工商银行、农业银行，饭店..............<br />
<br />
【小区介绍】<br />
位于南京西路商圈和淮海路商圈之间，采用ART-DECO风格全石材外墙，国际品牌精装修交房，小区内泳池、健身、SPA等会所配套一应俱全，并由国际的戴德梁行担任物业顾问<br />
<br />
","2号线,12号线,13号线 - 南京西路",683m,http://sh.lianjia.com/zufang/SH2745117492430520320.html,"
          整租·城市一品苑 3室2厅 南        ",黄浦,淮海中路,城市一品苑
房源编号：SH2749128858858168320,整租·江桥万达广场(嘉定),1室1厅,8200,(季付价),整租,93㎡,南,2天前,中楼层/12层,暂无数据,暂无数据,随时入住,有,无信息,13号线 - 金运路,487m,http://sh.lianjia.com/zufang/SH2749128858858168320.html,"
          整租·江桥万达广场(嘉定) 1室1厅 南        ",嘉定,江桥,江桥万达广场(嘉定)
房源编号：SH2749157959979778048,整租·逸居苑,2室2厅,7000,(季付价),整租,88㎡,南,7天前,高楼层/14层,租用车位,1年以内,随时入住,有,"【房源亮点】<br />
地铁：三号线十八号线，小区大门离三号线十八号线长江南路站800米，公交有：713路、751路52路552路160路等，其中713路终点站到打虎山路锦西路，751路终点站到岳州路公平路，自驾到逸仙路高架入口400米<br />
<br />
【装修描述】<br />
房屋精装全配，里头租客给房子打扫的很干净漂亮。家具家电也维护的很好，可以拎包入住<br />
<br />
【出租原因】<br />
公园有：出门50-100米淞南公园、淞顺公园，银行有：农商银行、农业银行、邮政储蓄、建设银行、上海银行、工商银行等，超市有：联华超市、农工商以及良友、全家等便利店，菜市场：800米淞良路菜市场，1000米大昌菜市场<br />
<br />
【周边配套】<br />
房东自己住其它的房子·这套用·来···出租，精装修两房，小区品质好.....<br />
<br />
【小区介绍】<br />
房子是10年的小区，品质好，开发商自己的物业，管理到位，.，<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749157959979778048.html,"
          整租·逸居苑 2室2厅 南        ",宝山,淞南,逸居苑
房源编号：SH2748555242638680064,整租·新天家园,4室2厅,15000,(季付价),整租,135㎡,南,1天前,高楼层/12层,暂无数据,3年以内,随时入住,有,"【房源亮点】<br />
源深附 近价格最 低的四房，适合一家人居住，或者同事一起合租。<br />
<br />
【装修描述】<br />
房子是十几年前的装修，保养还可以，家具家电齐全。<br />
<br />
【交通出行】<br />
出门右拐走路9-12分 钟就是九号线杨高中路地铁站，出门左拐走路10-15分 钟就是六号线源深体育中 心，公交：977路、775路、983路、130路走路在3-6分 钟<br />
<br />
【出租原因】<br />
业主不住，用于出租。<br />
<br />
【周边配套】<br />
出门就是公园，紧挨着进才中 学，向北600米源深体育中 心，还有6/9号线地铁<br />
<br />
【小区介绍】<br />
小区是2001年的小区，民水民电，小区居住体验高，周 边配套齐全<br />
<br />
",9号线 - 杨高中路,641m,http://sh.lianjia.com/zufang/SH2748555242638680064.html,"
          整租·新天家园 4室2厅 南        ",浦东,源深,新天家园
房源编号：SH2749241020847243264,整租·金色贝拉维,2室2厅,19500,(季付价),整租,107㎡,南,10天前,低楼层/19层,租用车位,2年以内,随时入住,有,"【房源亮点】<br />
主卧和客厅都朝南，虽然楼层低，但视野采光好，户型方正的得房率高。<br />
<br />
【交通出行】<br />
1，步行500米左右到高岛屋商场，旁边就是10号线伊犁路地铁站3号口。 2.步行600米左右可到15号线红宝石路地铁站。<br />
<br />
【小区介绍】<br />
小区位于步行街中间位置。绿化高达50%以上，环境优美，闹中取静，楼栋间距大，视野和采光无遮挡，适合居住。<br />
<br />
","10号线(新江湾城-虹桥火车站),10号线(新江湾城-航中路) - 伊犁路",644m,http://sh.lianjia.com/zufang/SH2749241020847243264.html,"
          整租·金色贝拉维 2室2厅 南        ",长宁,古北,金色贝拉维
房源编号：SH2749071161240592384,整租·半岛花园,4室2厅,28000,(季付价),整租,223㎡,东南,今天,高楼层/32层,暂无数据,2年以内,随时入住,有,"【户型介绍】<br />
半岛花园四房三厅，223平大面积，业主诚意出租，户型正气，俯瞰苏州河，高楼层采光好景色独美。<br />
<br />
【交通出行】<br />
小区生活便利，自带小区花园。生活配套齐全。有亚新生活广场、巴黎春天/189弄购物广场、菜市场，长寿公园、苏州河梦清园公园等，与普陀区人民医院就在一条路上，中国银行、中国建设银行等银行均在咫尺。<br />
<br />
【周边配套】<br />
距离3，4，7号线镇坪路地铁站就是一座桥的距离，近7号线，13号线长寿路地铁站<br />
<br />
","3号线,4号线,7号线 - 镇坪路",373m,http://sh.lianjia.com/zufang/SH2749071161240592384.html,"
          整租·半岛花园 4室2厅 东南        ",普陀,长寿路,半岛花园
房源编号：SH2744849851031494656,整租·御翠豪庭,1室2厅,18500,(季付价),整租,71㎡,南,10天前,中楼层/29层,租用车位,3年以内,随时入住,有,"【房源亮点】<br />
古北带地暖的一房，装修很好，楼层高，采光视野很好，白天全天有阳光，位于小区中间，安静舒适<br />
<br />
【户型介绍】<br />
纯正板式结构，客厅以及卧室全部朝南，全明户型，除储物间外每个功能间都带窗，卧室带直角窗，采光视野很好，浴室带浴缸<br />
<br />
【装修描述】<br />
清新简约装修，原木色地板搭配浅蓝色沙发和窗帘，墙面与门面都为纯白色，干净整洁<br />
<br />
【小区介绍】<br />
御翠豪庭坐落于古北HJ城道，闲庭信步，只见梧桐树影，光影斑驳，这里不仅是都市繁华地带，更是温馨舒适的理想家园，大堂及公共区域华丽。小区楼栋全部围绕小区zx花园所建，绿地集中，景色优美，小区内设有会所、游泳池、健身场所。<br />
<br />
","10号线(新江湾城-虹桥火车站),10号线(新江湾城-航中路) - 伊犁路",562m,http://sh.lianjia.com/zufang/SH2744849851031494656.html,"
          整租·御翠豪庭 1室2厅 南        ",长宁,古北,御翠豪庭
房源编号：SH2749328896087834624,整租·新城悠活城,2室1厅,4500,(季付价),整租,83㎡,南,7天前,低楼层/25层,租用车位,1年以内,随时入住,有,"【装修描述】<br />
装修为简装，但是里面很干净的，家具家电齐全，拎包入住，适合一家人或者情侣，朋友合租<br />
<br />
【交通出行】<br />
小区地理位置优越，临。近地铁11号线的嘉定西站约30米，门口附。近处有多路公交，轨交出行便利，且自驾出行快捷<br />
<br />
【周边配套】<br />
小区房龄较新，房屋内外部保护较好，内部环境优美，物业服务质量高<br />
<br />
【小区介绍】<br />
小区周。边商。业、教育、医疗资源丰富，能够满足居民日常生活的基本需求<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749328896087834624.html,"
          整租·新城悠活城 2室1厅 南        ",嘉定,菊园新区,新城悠活城
房源编号：SH2745042787388104704,整租·贝尚湾(公寓),3室2厅,13000,(季付价),整租,132㎡,南,4天前,中楼层/15层,暂无数据,1年以内,2021/5/28,有,无信息,9号线 - 九亭,986m,http://sh.lianjia.com/zufang/SH2745042787388104704.html,"
          整租·贝尚湾(公寓) 3室2厅 南        ",松江,九亭,贝尚湾(公寓)
房源编号：SH2749148007164280832,整租·长发虹桥公寓,3室2厅,18500,(季付价),整租,146㎡,南 北,3天前,高楼层/15层,暂无数据,3年以内,随时入住,有,"【交通出行】<br />
地铁10号线300米，1公里左右的路程可以上延安高架和内环高架，出门就是公交站<br />
<br />
【周边配套】<br />
近的是10号线(新江湾城-虹桥火车站)宋园路站1口，约300M，西面500米有新虹桥花园和高岛屋百货。<br />
<br />
【小区介绍】<br />
房子建成于2005年，是新小区。绿化为37%，绿化好，容积为3.5，实行封闭式管理，有监控，有门禁，较为安全。物业为：上海虹叶管理有限公司，物业费为3.5元每平每月。<br />
<br />
","10号线(新江湾城-虹桥火车站),10号线(新江湾城-航中路) - 伊犁路",580m,http://sh.lianjia.com/zufang/SH2749148007164280832.html,"
          整租·长发虹桥公寓 3室2厅 南/北        ",长宁,虹桥,长发虹桥公寓
房源编号：SH2745541721373802496,整租·南草坪花园(别墅),5室2厅,30000,(季付价),整租,193㎡,南 北,10天前,低楼层/3层,暂无数据,暂无数据,随时入住,无,无信息,"1号线,12号线,13号线 - 汉中路",1157m,http://sh.lianjia.com/zufang/SH2745541721373802496.html,"
          整租·南草坪花园(别墅) 5室2厅 南/北        ",静安,江宁路,南草坪花园(别墅)
房源编号：SH2745624146510610432,整租·古北国际广场,2室2厅,18000,(双月付价),整租,95㎡,南,6天前,高楼层/32层,租用车位,2年以内,随时入住,有,"【户型介绍】<br />
视野好，采光好，两房朝南，家具齐全，拎包入住。。。。。。。。。。。。。<br />
<br />
【周边配套】<br />
【吃喝玩乐】北边417米高岛屋商场；南边774米古北699广场，有电影院；西正对步行街，有众多咖啡馆及酒馆以及美食。 【交通】距离地铁站十号线伊犁路站650米，距离内环高架1.5公里。 【医疗】距离瑞金医院古北分院751米<br />
<br />
【小区介绍】<br />
古北国际广场，位于古北商圈，是最早并最成熟的国际社区，位于古北步行街东侧，小区共十二栋，总678户，2006年建成，成八字排开。小区绿化40%，环境较为优美，开发商为上海古北京宸置业发展有限公司，物业也是古北物业。<br />
<br />
","10号线(新江湾城-虹桥火车站),10号线(新江湾城-航中路) - 伊犁路",710m,http://sh.lianjia.com/zufang/SH2745624146510610432.html,"
          整租·古北国际广场 2室2厅 南        ",长宁,古北,古北国际广场
